,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
414,Female,21,Businessman,Govt.,80.0,3h to 5h,Family,0,7,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer",3.33
415,Female,21,Businessman,Govt.,80.0,1h to 1.5h,Family,0,7,Alive,4h to 6h,Merit,Owned,Yes,"Mobile, Laptop, Computer",2.94
416,Male,22,Other,Govt.,70.0,5h to 8h,Family,0,7,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.81
417,Male,22,Other,Govt.,70.0,0h,Family,0,7,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.7
418,Male,22,Other,Govt.,70.0,0h,Family,0,7,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.68
419,Male,22,Other,Govt.,70.0,1h to 1.5h,Family,0,7,Alive,4h to 6h,Merit,Owned,Yes,"Mobile, Laptop",3.02
420,Male,22,Other,Govt.,70.0,1h to 1.5h,Family,0,7,Alive,4h to 6h,Merit,Owned,Yes,"Mobile, Laptop",3.06
421,Male,24,Other,Govt.,76.0,5h to 8h,Family,1,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer, Printer",3.48
422,Male,24,Other,Govt.,76.0,5h to 8h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer, Printer",3.56
423,Male,24,Other,Govt.,76.0,5h to 8h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer, Printer",3.85
424,Male,24,Other,Govt.,76.0,1h to 1.5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer, Printer",2.99
425,Male,24,Other,Govt.,76.0,1h to 1.5h,Family,0,5,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop, Computer, Printer",3.53
426,Male,22,Engineer,Govt.,75.0,3h to 5h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.66
427,Male,22,Engineer,Govt.,75.0,5h to 8h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.66
428,Male,22,Engineer,Govt.,75.0,1h to 1.5h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.75
429,Male,22,Engineer,Govt.,75.0,1h to 1.5h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.54
430,Male,22,Engineer,Govt.,75.0,1h to 1.5h,Family,0,6,Alive,3h to 4h,Merit,Owned,Yes,"Mobile, Laptop",3.26
