,Gender,Age,Father_Occupation,Intermediate_College,Current_Attendance,Self_Study_Time,Living_with_Family_or_Bachelor,Supplements_in_recent result,No_of_Family_Members,Father_Status,Free_Time,Admission,Accommodation,Internet,Gadgets,GPA
70,1,18,3,1,80.0,1,0,0,6,0,1,0,1,1,7,3.43
71,1,20,5,1,86.0,2,0,0,4,0,1,0,1,1,4,2.79
72,1,22,1,1,83.0,2,1,0,3,0,1,1,0,1,7,3.27
73,0,19,5,0,80.0,2,1,0,2,0,2,0,0,1,4,3.81
74,1,20,0,1,82.0,1,0,1,3,0,3,1,1,1,4,3.32
75,0,20,5,0,86.0,1,1,0,2,0,1,0,0,1,4,3.68
76,0,18,8,1,78.0,1,1,0,4,0,1,0,0,1,4,3.09
77,1,19,5,1,77.0,1,0,0,2,0,2,0,1,1,4,2.21
78,0,18,1,1,80.0,2,1,0,3,0,1,0,0,1,4,3.71
79,1,22,5,0,80.0,2,1,0,4,0,2,0,1,1,7,2.85
80,1,22,5,0,80.0,2,1,1,4,0,1,0,1,1,7,3.32
81,1,22,5,0,80.0,2,1,4,4,0,2,0,1,1,7,3.32
82,1,22,9,0,78.0,3,0,0,5,0,1,0,1,1,4,3.15
83,1,22,9,0,78.0,3,0,0,5,0,1,0,1,1,4,3.82
84,1,22,9,0,78.0,3,0,0,5,0,1,0,1,1,4,2.93
85,1,23,6,0,75.0,3,1,0,6,0,1,0,0,1,3,3.65
86,1,23,6,0,75.0,3,1,0,6,0,1,0,0,1,3,3.74
87,1,23,6,0,75.0,2,1,0,6,0,1,0,0,1,3,3.46
88,1,21,5,1,90.0,2,1,0,3,1,3,0,1,1,7,4.0
89,1,21,5,1,90.0,2,1,0,3,1,1,0,1,1,7,3.91
90,1,21,5,1,90.0,2,1,0,3,1,1,0,1,1,7,3.83
91,1,20,5,1,68.0,2,0,0,4,0,1,0,1,1,5,3.0
92,1,20,5,1,68.0,2,0,0,4,0,1,0,1,1,5,3.45
93,1,20,5,1,68.0,2,0,0,4,0,1,0,1,1,5,2.33
94,1,23,5,0,87.0,3,1,0,4,0,2,0,1,1,4,2.5
95,1,23,5,0,87.0,3,1,2,4,0,1,0,1,1,4,2.5
96,1,23,5,0,87.0,3,1,3,4,0,1,0,1,1,4,2.5
97,1,21,1,0,75.0,2,1,0,3,0,1,0,0,1,1,3.0
98,1,21,1,0,75.0,3,1,0,3,0,2,0,0,1,1,2.75
99,1,21,1,0,75.0,2,1,0,3,0,1,0,0,1,1,2.51
100,0,21,9,1,67.0,2,1,0,3,0,1,0,0,1,2,3.85
101,0,21,9,1,67.0,2,1,0,3,0,2,0,0,1,2,3.65
102,0,21,9,1,67.0,2,1,0,3,0,1,0,0,1,2,3.21
103,1,20,5,0,72.0,1,1,0,2,0,1,0,1,1,4,3.28
104,1,20,5,0,72.0,1,1,1,2,0,1,0,1,1,4,3.28
105,1,20,5,0,72.0,1,1,3,2,0,1,0,1,1,4,3.28
106,1,21,6,1,90.0,2,1,0,6,0,2,0,0,1,5,3.0
107,1,21,6,1,90.0,2,1,0,6,0,2,0,0,1,5,3.35
108,1,21,6,1,90.0,2,1,0,6,0,2,0,0,1,5,3.01
109,1,22,9,0,80.0,3,0,0,5,0,2,0,1,1,7,3.0
110,1,22,9,0,80.0,3,0,0,5,0,2,0,1,1,7,3.45
111,1,22,9,0,80.0,3,0,0,5,0,2,0,1,1,7,2.89
112,1,19,6,0,90.0,2,1,0,5,0,2,0,0,1,6,4.0
113,1,19,6,0,90.0,2,1,0,5,0,2,0,0,1,6,3.86
114,1,19,6,0,90.0,3,1,0,5,0,1,0,0,1,6,3.81
115,1,21,2,0,75.0,2,1,0,2,0,1,0,0,1,4,3.5
116,1,21,2,0,75.0,0,1,0,2,0,0,0,0,1,4,3.02
117,1,21,2,0,75.0,0,1,1,2,0,0,0,0,1,4,3.28
118,1,22,5,1,78.0,3,0,0,4,0,1,0,1,1,4,4.0
119,1,22,5,1,78.0,3,0,0,4,0,2,0,1,1,4,3.98
